"venue","row_count","min_year","max_year","flag_reason"
"Health Psychology and Behavioral Medicine","3","2021","2021","off_domain_venue_name:medicine"
"Human Molecular Genetics","3","2021","2024","off_domain_venue_name:life_science"
"IEEE journal of biomedical and health informatics","3","2021","2022","off_domain_venue_name:medicine"
"IEEE Transactions on Information Technology in Biomedicine","3","2005","2006","off_domain_venue_name:medicine"
"Indian Journal of Medical Microbiology","3","2018","2018","off_domain_venue_name:medicine"
"Indian Journal of Pharmaceutical Education and Research","3","2021","2021","off_domain_venue_name:medicine"
"Infection control and hospital epidemiology","3","2020","2023","off_domain_venue_name:medicine"
"Infectious Medicine","3","2024","2024","off_domain_venue_name:medicine"
"Integrative and Comparative Biology","3","2002","2002","off_domain_venue_name:life_science"
"International Journal of Building Pathology and Adaptation","3","2021","2025","off_domain_venue_name:medicine"
"International Journal of Chemical Reactor Engineering","3","2024","2024","off_domain_venue_name:physical_science"
"International Journal of Clinical Practice","3","2020","2021","off_domain_venue_name:medicine"
"International Journal of Modern Physics B","3","2006","2024","off_domain_venue_name:physical_science"
"International Journal of Molecular Medicine","3","2024","2024","off_domain_venue_name:medicine|life_science"
"International Journal of Older People Nursing","3","2022","2024","off_domain_venue_name:medicine"
"International Journal of Paediatric Dentistry","3","2017","2019","off_domain_venue_name:medicine"
"International Journal of Pediatrics and Adolescent Medicine","3","2018","2021","off_domain_venue_name:medicine"
"International Journal of Radiation Oncology*Biology*Physics","3","2024","2024","off_domain_venue_name:medicine|physical_science|life_science"
"International Journal of Surgery Case Reports","3","2021","2021","off_domain_venue_name:medicine"
"International Journal of Veterinary Science and Medicine","3","2018","2018","off_domain_venue_name:medicine"
"JAMA Otolaryngology–Head & Neck Surgery","3","2021","2024","off_domain_venue_name:medicine"
"Japanese Journal of Radiology","3","2024","2024","off_domain_venue_name:medicine"
"JCO Clinical Cancer Informatics","3","2020","2024","off_domain_venue_name:medicine"
"Journal of Alternative and Complementary Medicine","3","2018","2018","off_domain_venue_name:medicine"
"Journal of Bone and Joint Surgery. American volume","3","2021","2021","off_domain_venue_name:medicine"
"Journal of Cardiovascular Nursing","3","2022","2022","off_domain_venue_name:medicine"
"Journal of Cataract & Refractive Surgery","3","2024","2024","off_domain_venue_name:medicine"
"Journal of Cell Biology","3","1994","1994","off_domain_venue_name:life_science"
"Journal of Chemical Technology & Biotechnology","3","2024","2024","off_domain_venue_name:physical_science"
"Journal of Clinical Gastroenterology","3","2024","2024","off_domain_venue_name:medicine"
"Journal of clinical neuroscience","3","2025","2025","off_domain_venue_name:medicine|life_science"
"Journal of Clinical Psychology","3","1995","2010","off_domain_venue_name:medicine"
"Journal of Electronic Resources in Medical Libraries","3","2022","2022","off_domain_venue_name:medicine"
"Journal of Evaluation In Clinical Practice","3","2024","2025","off_domain_venue_name:medicine"
"Journal of Experimental Biology","3","2010","2024","off_domain_venue_name:life_science"
"Journal of Geology & Geophysics","3","2016","2016","off_domain_venue_name:physical_science"
"Journal of Herbal Medicine","3","2019","2019","off_domain_venue_name:medicine"
"Journal of Imaging Informatics in Medicine","3","2024","2024","off_domain_venue_name:medicine"
"Journal of Korean Medical Association","3","2014","2021","off_domain_venue_name:medicine"
"Journal of Medical Imaging","3","2018","2019","off_domain_venue_name:medicine"
"Journal of Occupational Medicine and Toxicology","3","2024","2024","off_domain_venue_name:medicine"
"Journal of Oncology","3","2010","2021","off_domain_venue_name:medicine"
"Journal of Pediatric Surgery","3","2021","2024","off_domain_venue_name:medicine"
"Journal of Physics G Nuclear and Particle Physics","3","2002","2024","off_domain_venue_name:physical_science"
"Journal of Physics Materials","3","2019","2024","off_domain_venue_name:physical_science"
"Journal of Robotic Surgery","3","2024","2024","off_domain_venue_name:medicine"
"Journal of Surgical Oncology","3","2023","2025","off_domain_venue_name:medicine"
"Journal of Surgical Specialties and Rural Practice","3","2025","2025","off_domain_venue_name:medicine"
"Journal of the American Academy of Child & Adolescent Psychiatry","3","2000","2025","off_domain_venue_name:medicine"
"Journal of the American Veterinary Medical Association","3","2024","2024","off_domain_venue_name:medicine"
"Journal of Tropical Medicine","3","2013","2023","off_domain_venue_name:medicine"
"Journal of Ultrasound in Medicine","3","2020","2024","off_domain_venue_name:medicine"
"Lupus Science & Medicine","3","2021","2021","off_domain_venue_name:medicine"
"Lupus Science and Medicine","3","2023","2023","off_domain_venue_name:medicine"
"Malaysian journal of medicine and health sciences","3","2024","2025","off_domain_venue_name:medicine"
"Materials Science for Energy Technologies","3","2024","2024","off_domain_venue_name:physical_science"
"Medical Informatics Europe","3","2024","2024","off_domain_venue_name:medicine"
"Medical Reference Services Quarterly","3","2018","2020","off_domain_venue_name:medicine"
"Medical Review","3","2024","2024","off_domain_venue_name:medicine"
"Medical Science Monitor","3","2020","2020","off_domain_venue_name:medicine"
"Medicine Advances","3","2024","2024","off_domain_venue_name:medicine"
"Minerva Cardiology and Angiology","3","2024","2024","off_domain_venue_name:medicine"
"Modern Pathology","3","2018","2024","off_domain_venue_name:medicine"
"Molecular and Biochemical Parasitology","3","2016","2016","off_domain_venue_name:life_science"
"Molecular Ecology Notes","3","2002","2003","off_domain_venue_name:life_science"
"Molecular Medicine","3","2024","2024","off_domain_venue_name:medicine|life_science"
"Molecular Metabolism","3","2018","2024","off_domain_venue_name:life_science"
"Molecular Oncology","3","2020","2024","off_domain_venue_name:medicine|life_science"
"Molecular Phylogenetics and Evolution","3","2007","2024","off_domain_venue_name:life_science"
"Molecular Therapy","3","2021","2022","off_domain_venue_name:life_science"
"Multiple sclerosis journal - experimental, translational and clinical","3","2016","2017","off_domain_venue_name:medicine"
"Nature Chemistry","3","2024","2025","off_domain_venue_name:physical_science"
"Nature reviews genetics","3","2008","2008","off_domain_venue_name:life_science"
"Neurology and Therapy","3","2024","2024","off_domain_venue_name:medicine"
"New Astronomy Reviews","3","2024","2024","off_domain_venue_name:physical_science"
"Nuclear medicine communications","3","2022","2022","off_domain_venue_name:medicine|physical_science"
"Nursing","3","2018","2018","off_domain_venue_name:medicine"
"Occupational Medicine","3","2024","2024","off_domain_venue_name:medicine"
"Oncology Letters","3","2013","2022","off_domain_venue_name:medicine"
"Ophthalmic Epidemiology","3","2010","2025","off_domain_venue_name:medicine"
"Oxidative Medicine and Cellular Longevity","3","2021","2021","off_domain_venue_name:medicine"
"Physical Review Materials","3","2018","2024","off_domain_venue_name:physical_science"
"Physical review. B, Condensed matter","3","1995","1995","off_domain_venue_name:physical_science"
"Plastic & Reconstructive Surgery Global Open","3","2024","2025","off_domain_venue_name:medicine"
"Public Health Nursing","3","2003","2024","off_domain_venue_name:medicine"
"Quantitative Biology","3","2024","2025","off_domain_venue_name:life_science"
"Quantitative Imaging in Medicine and Surgery","3","2024","2024","off_domain_venue_name:medicine"
"Sarvodaya International Journal of Medicine","3","2025","2025","off_domain_venue_name:medicine"
"Seminars in neurology","3","2024","2024","off_domain_venue_name:medicine"
"Singapore Medical Journal","3","2024","2024","off_domain_venue_name:medicine"
"Spectrochimica Acta Part A Molecular and Biomolecular Spectroscopy","3","2024","2024","off_domain_venue_name:life_science"
"Teaching and learning in medicine","3","2021","2023","off_domain_venue_name:medicine"
"The Canadian Journal of Chemical Engineering","3","2024","2024","off_domain_venue_name:physical_science"
"The Egyptian Journal of Radiology and Nuclear Medicine","3","2024","2024","off_domain_venue_name:medicine|physical_science"
"The Journal of Pathology","3","1999","2010","off_domain_venue_name:medicine"
"The Medical clinics of North America","3","2016","2016","off_domain_venue_name:medicine"
"The Open Respiratory Medicine Journal","3","2024","2024","off_domain_venue_name:medicine"
"Translational Pediatrics","3","2014","2020","off_domain_venue_name:medicine"
"Updates in Surgery","3","2023","2024","off_domain_venue_name:medicine"
"Visual Computing for Industry Biomedicine and Art","3","2023","2024","off_domain_venue_name:medicine"
"Wilderness and Environmental Medicine","3","2010","2015","off_domain_venue_name:medicine"
"World Journal of Biology Pharmacy and Health Sciences","3","2024","2024","off_domain_venue_name:life_science"
"Academic Medicine & Surgery","2","2024","2024","off_domain_venue_name:medicine"
"Academic Psychiatry","2","2003","2003","off_domain_venue_name:medicine"
"Acta Crystallographica Section C Structural Chemistry","2","2014","2014","off_domain_venue_name:physical_science"
"Advances in Anatomic Pathology","2","2024","2024","off_domain_venue_name:medicine"
"Advances in respiratory medicine","2","2024","2024","off_domain_venue_name:medicine"
"Advances in Traditional Medicine","2","2021","2021","off_domain_venue_name:medicine"
"AIMS molecular science","2","2024","2024","off_domain_venue_name:life_science"
"AIMS neuroscience","2","2024","2024","off_domain_venue_name:life_science"
"Algorithms for Molecular Biology","2","2011","2024","off_domain_venue_name:life_science"
"American Journal of Biological Anthropology","2","2024","2024","off_domain_venue_name:life_science"
"American Journal of Medical Genetics. Part C, Seminars in Medical Genetics","2","2020","2021","off_domain_venue_name:medicine|life_science"
"Annals of Clinical Epidemiology","2","2024","2024","off_domain_venue_name:medicine"
"Annals of Human Genetics","2","2001","2001","off_domain_venue_name:life_science"
"Annals of Plastic Surgery","2","1997","1997","off_domain_venue_name:medicine"
"Annals of Surgical Oncology","2","2024","2024","off_domain_venue_name:medicine"
"Annual International Conference of the IEEE Engineering in Medicine and Biology Society","2","2014","2025","off_domain_venue_name:medicine|life_science"
"Annual Review of Cancer Biology","2","2016","2016","off_domain_venue_name:life_science"
"Annual Review of Condensed Matter Physics","2","2019","2022","off_domain_venue_name:physical_science"
"Annual Review of Materials Science","2","1998","1998","off_domain_venue_name:physical_science"
"Annual Review of Pathology Mechanisms of Disease","2","2024","2024","off_domain_venue_name:medicine"
"Antimicrobial Stewardship and Healthcare Epidemiology","2","2022","2023","off_domain_venue_name:medicine"
"Archives of Surgery and Clinical Research","2","2025","2025","off_domain_venue_name:medicine"
"Arteriosclerosis Thrombosis and Vascular Biology","2","1999","2024","off_domain_venue_name:life_science"
"ASEAN Journal of Psychiatry","2","2024","2024","off_domain_venue_name:medicine"
"Asian Journal of Pharmaceutical Research","2","2024","2024","off_domain_venue_name:medicine"
"Asian Journal of Research in Chemistry","2","2021","2021","off_domain_venue_name:physical_science"
"Australian Journal of Botany","2","2003","2013","off_domain_venue_name:life_science"
"Aviation Space and Environmental Medicine","2","2009","2009","off_domain_venue_name:medicine"
"Beilstein Journal of Organic Chemistry","2","2024","2024","off_domain_venue_name:physical_science"
"Biological Diversity","2","2024","2024","off_domain_venue_name:life_science"
"Biological Invasions","2","2017","2017","off_domain_venue_name:life_science"
"Biology and Fertility of Soils","2","2017","2020","off_domain_venue_name:life_science"
"Biology Letters","2","2016","2025","off_domain_venue_name:life_science"
"Biology of Sex Differences","2","2020","2021","off_domain_venue_name:life_science"
"Biomedical Analysis","2","2024","2024","off_domain_venue_name:medicine"
"BioMedical Engineering OnLine","2","2024","2024","off_domain_venue_name:medicine"
"Biomedical Physics & Engineering Express","2","2024","2024","off_domain_venue_name:medicine|physical_science"
"Biostatistics & Epidemiology","2","2017","2017","off_domain_venue_name:medicine"
"BMC Anesthesiology","2","2024","2025","off_domain_venue_name:medicine"
"BMC Sports Science Medicine and Rehabilitation","2","2024","2024","off_domain_venue_name:medicine"
"British Journal of Biomedical Science","2","2024","2024","off_domain_venue_name:medicine"
"British Journal of Clinical Psychology","2","1992","1999","off_domain_venue_name:medicine"
"British Journal of Neuroscience Nursing","2","2022","2022","off_domain_venue_name:medicine|life_science"
"Cancer Biology & Therapy","2","2024","2024","off_domain_venue_name:life_science"
"Cancer Biology and Medicine","2","2021","2024","off_domain_venue_name:medicine|life_science"
"Cancer Epidemiology Biomarkers & Prevention","2","2020","2022","off_domain_venue_name:medicine"
"Cancer Nursing","2","2019","2019","off_domain_venue_name:medicine"
"Cardiology and Therapy","2","2024","2024","off_domain_venue_name:medicine"
"Cardiology Research","2","2024","2024","off_domain_venue_name:medicine"
"Cellular and Molecular Immunology","2","2020","2024","off_domain_venue_name:life_science"
"Chemical Engineering and Processing - Process Intensification","2","2024","2024","off_domain_venue_name:physical_science"
"Chemical Senses","2","1997","2020","off_domain_venue_name:physical_science"
"Chemico-Biological Interactions","2","2022","2024","off_domain_venue_name:life_science"
"Chemistry","2","2024","2024","off_domain_venue_name:physical_science"
"Clinical Anatomy","2","2020","2024","off_domain_venue_name:medicine"
"Clinical eHealth","2","2022","2023","off_domain_venue_name:medicine"
"Clinical Hypertension","2","2024","2024","off_domain_venue_name:medicine"
"Clinical Journal of the American Society of Nephrology","2","2023","2024","off_domain_venue_name:medicine"
"Clinical Nephrology","2","2015","2015","off_domain_venue_name:medicine"
"Clinical Nurse Specialist","2","2019","2019","off_domain_venue_name:medicine"
"Clinical Nutrition ESPEN","2","2024","2024","off_domain_venue_name:medicine"
"Clinical Oral Investigations","2","2024","2025","off_domain_venue_name:medicine"
"Clinical Rehabilitation","2","2017","2017","off_domain_venue_name:medicine"
"Clinical Spine Surgery A Spine Publication","2","2020","2024","off_domain_venue_name:medicine"
"Clinics in Orthopedic Surgery","2","2024","2024","off_domain_venue_name:medicine"
"Cognitive Affective & Behavioral Neuroscience","2","2024","2024","off_domain_venue_name:life_science"
"COJ Nursing & Healthcare","2","2024","2024","off_domain_venue_name:medicine"
"Communications in Mathematical Physics","2","2024","2024","off_domain_venue_name:physical_science"
"Computational Materials Science","2","2024","2024","off_domain_venue_name:physical_science"
"Computational Psychiatry","2","2024","2024","off_domain_venue_name:medicine"
"Computer Methods in Biomechanics & Biomedical Engineering","2","2024","2025","off_domain_venue_name:medicine"
"Conservation Genetics","2","2018","2018","off_domain_venue_name:life_science"
"CPT Pharmacometrics & Systems Pharmacology","2","2024","2024","off_domain_venue_name:medicine"
"Croatian Medical Journal","2","2023","2023","off_domain_venue_name:medicine"
"Culture, Medicine and Psychiatry","2","2015","2015","off_domain_venue_name:medicine"
"Current Cardiology Reports","2","2019","2019","off_domain_venue_name:medicine"
"Current Medical Research and Opinion","2","2024","2024","off_domain_venue_name:medicine"
"Current Medicinal Chemistry","2","2024","2024","off_domain_venue_name:physical_science"
"Current opinion in clinical nutrition and metabolic care","2","2006","2006","off_domain_venue_name:medicine"
"Current Opinion in Green and Sustainable Chemistry","2","2024","2024","off_domain_venue_name:physical_science"
"Current Opinion in Pharmacology","2","2024","2024","off_domain_venue_name:medicine"
"Current Opinion in Structural Biology","2","2024","2024","off_domain_venue_name:life_science"
"Current Pharmaceutical Analysis","2","2024","2024","off_domain_venue_name:medicine"
"Dermatologic Surgery","2","2016","2024","off_domain_venue_name:medicine"
"Dr. Sulaiman Al Habib Medical Journal","2","2022","2022","off_domain_venue_name:medicine"
"Education in Medicine Journal","2","2024","2024","off_domain_venue_name:medicine"
"Epidemiology and Health Data Insights","2","2025","2025","off_domain_venue_name:medicine"
"Epidemiology Biostatistics and Public Health","2","2022","2022","off_domain_venue_name:medicine"
"Epidemiology Open Access","2","2016","2016","off_domain_venue_name:medicine"
"European Heart Journal - Quality of Care and Clinical Outcomes","2","2025","2025","off_domain_venue_name:medicine"
"European Journal of Obstetrics & Gynecology and Reproductive Biology","2","2024","2024","off_domain_venue_name:life_science"
"European Journal of Obstetrics, Gynecology, and Reproductive Biology","2","2025","2025","off_domain_venue_name:life_science"
"European Journal of Oncology Nursing","2","2023","2023","off_domain_venue_name:medicine"
"European Journal of Organic Chemistry","2","2016","2024","off_domain_venue_name:physical_science"
"European Journal of Trauma and Emergency Surgery","2","2023","2023","off_domain_venue_name:medicine"
"Evidence-Based Nursing","2","2011","2011","off_domain_venue_name:medicine"
"Experimental and Therapeutic Medicine","2","2020","2020","off_domain_venue_name:medicine"
"Experimental Astronomy","2","2025","2025","off_domain_venue_name:physical_science"
"Experimental Neurology","2","2024","2024","off_domain_venue_name:medicine"
"Expert Review of Molecular Diagnostics","2","2020","2024","off_domain_venue_name:life_science"
"Food & medicine homology.","2","2024","2024","off_domain_venue_name:medicine"
"Food and Chemical Toxicology","2","2024","2024","off_domain_venue_name:physical_science"
"Food Physics","2","2024","2024","off_domain_venue_name:physical_science"
"Frontiers in Molecular Biosciences","2","2021","2024","off_domain_venue_name:life_science"
"Frontiers in Molecular Neuroscience","2","2017","2024","off_domain_venue_name:life_science"
"Frontiers in Radiology","2","2024","2024","off_domain_venue_name:medicine"
"Gastrointestinal Nursing","2","2023","2023","off_domain_venue_name:medicine"
"Genetic Epidemiology","2","1996","1996","off_domain_venue_name:medicine"
"Genetics and Molecular Biology","2","2024","2024","off_domain_venue_name:life_science"
"Genetics in Medicine Open","2","2024","2024","off_domain_venue_name:medicine|life_science"
"Genome Biology","2","2020","2020","off_domain_venue_name:life_science"
"Global Health & Medicine","2","2024","2024","off_domain_venue_name:medicine"
"Health Services Research & Managerial Epidemiology","2","2023","2023","off_domain_venue_name:medicine"
"HepatoBiliary Surgery and Nutrition","2","2024","2024","off_domain_venue_name:medicine"
"HIV Medicine","2","2024","2024","off_domain_venue_name:medicine"
"Hospital Pediatrics","2","2020","2025","off_domain_venue_name:medicine"
"Human Biology: The Official Publication of the American Association of Anthropological Genetics","2","2007","2007","off_domain_venue_name:life_science"
"IEEE Engineering in Medicine and Biology Magazine","2","2001","2001","off_domain_venue_name:medicine|life_science"
"IEEE Reviews in Biomedical Engineering","2","2020","2025","off_domain_venue_name:medicine"
"Indian Journal of Forensic and Community Medicine","2","2020","2021","off_domain_venue_name:medicine"
"Indonesian Journal of Electronics Electromedical Engineering and Medical Informatics","2","2025","2025","off_domain_venue_name:medicine"
"Injury Epidemiology","2","2024","2025","off_domain_venue_name:medicine"
"Innovations in Acupuncture and Medicine","2","2026","2026","off_domain_venue_name:medicine"
"Innovative Research in Applied, Biological and Chemical Sciences","2","2024","2024","off_domain_venue_name:physical_science|life_science"
"Inorganic Chemistry Communications","2","2024","2024","off_domain_venue_name:physical_science"
"Intelligence-Based Medicine","2","2024","2024","off_domain_venue_name:medicine"
"Intensive & Critical Care Nursing","2","2022","2022","off_domain_venue_name:medicine"
"Interdisciplinary Research in Medical Sciences Specialty","2","2024","2024","off_domain_venue_name:medicine"
"International journal of agricultural and biological engineering","2","2018","2024","off_domain_venue_name:life_science"
"International Journal of Biological and Pharmaceutical Sciences Archive","2","2024","2024","off_domain_venue_name:medicine|life_science"
"International Journal of Cardiology Cardiovascular Risk and Prevention","2","2025","2025","off_domain_venue_name:medicine"
"International Journal of Clinical Oncology","2","2023","2024","off_domain_venue_name:medicine"
"International Journal of Clinical Pharmacy","2","2024","2024","off_domain_venue_name:medicine"
"International journal of clinical practice","2","2014","2014","off_domain_venue_name:medicine"
"International Journal of Modern Physics A","2","2024","2024","off_domain_venue_name:physical_science"
"International Journal of Nursing Science","2","2020","2021","off_domain_venue_name:medicine"
"International Journal of Nursing Sciences","2","2020","2021","off_domain_venue_name:medicine"
"International Journal of Oncology","2","2024","2024","off_domain_venue_name:medicine"
"International Journal Of Pharmaceutical Research And Allied Sciences","2","2024","2024","off_domain_venue_name:medicine"
"International Journal of Radiation Biology","2","1990","1990","off_domain_venue_name:life_science"
"IP Journal of Paediatrics and Nursing Science","2","2020","2020","off_domain_venue_name:medicine"
"JACC. Clinical electrophysiology","2","2021","2024","off_domain_venue_name:medicine"
"Janaki Medical College Journal of Medical Science","2","2024","2024","off_domain_venue_name:medicine"
"Japan Journal of Nursing Science","2","2019","2019","off_domain_venue_name:medicine"
"JCO Oncology Practice","2","2021","2021","off_domain_venue_name:medicine"
"JMIR Nursing","2","2024","2024","off_domain_venue_name:medicine"
"Journal of Advances in Biology & Biotechnology","2","2024","2024","off_domain_venue_name:life_science"
"Journal of Advances in Medicine and Medical Research","2","2024","2024","off_domain_venue_name:medicine"
"Journal of Allergy and Clinical Immunology Global","2","2024","2024","off_domain_venue_name:medicine"
"Journal of Allergy and Clinical Immunology: In Practice","2","2020","2020","off_domain_venue_name:medicine"
"Journal of Arthroscopic Surgery and Sports Medicine","2","2025","2025","off_domain_venue_name:medicine"
"Journal of Asian Pacific Society of Cardiology","2","2024","2025","off_domain_venue_name:medicine"
"Journal of Atmospheric and Solar-Terrestrial Physics","2","2021","2021","off_domain_venue_name:physical_science"
"Journal of behavioral medicine","2","2009","2022","off_domain_venue_name:medicine"
"Journal of Bioinformatics and Computational Biology","2","2005","2005","off_domain_venue_name:life_science"
"Journal of Biomedical and Sustainable Healthcare Applications","2","2024","2024","off_domain_venue_name:medicine"
"Journal of Biomedical Science","2","2024","2024","off_domain_venue_name:medicine"
"Journal of Cancer Research and Clinical Oncology","2","2023","2024","off_domain_venue_name:medicine"
"Journal of Cellular and Molecular Medicine","2","2021","2024","off_domain_venue_name:medicine|life_science"
"Journal of Chemical & Engineering Data","2","2019","2024","off_domain_venue_name:physical_science"
"Journal of Clinical & Translational Endocrinology","2","2017","2024","off_domain_venue_name:medicine"
"Journal of Clinical and Translational Science","2","2021","2021","off_domain_venue_name:medicine"
"Journal of Clinical Apheresis","2","2019","2023","off_domain_venue_name:medicine"
"Journal of Clinical Neurology","2","2017","2020","off_domain_venue_name:medicine"
"Journal of Clinical Neurophysiology","2","2021","2024","off_domain_venue_name:medicine"
"Journal of dentistry research","2","2025","2025","off_domain_venue_name:medicine"
"Journal of Developmental & Behavioral Pediatrics","2","2001","2001","off_domain_venue_name:medicine"
"Journal of Developmental and Behavioral Pediatrics","2","2017","2017","off_domain_venue_name:medicine"
"Journal of Electronics Electromedical Engineering and Medical Informatics","2","2024","2025","off_domain_venue_name:medicine"
"Journal of Family and Community Medicine","2","2018","2018","off_domain_venue_name:medicine"
"Journal of Forensic and Legal Medicine","2","2024","2024","off_domain_venue_name:medicine"
"Journal of Geriatric Cardiology","2","2019","2019","off_domain_venue_name:medicine"
"Journal of Herbmed Pharmacology","2","2018","2018","off_domain_venue_name:medicine"
"Journal of International Medical Research","2","2021","2021","off_domain_venue_name:medicine"
"Journal of Investigative Medicine High Impact Case Reports","2","2025","2025","off_domain_venue_name:medicine"
"Journal of Korean Medical Science","2","2020","2020","off_domain_venue_name:medicine"
"Journal of Maternal-Fetal & Neonatal Medicine","2","2009","2009","off_domain_venue_name:medicine"
"Journal of Microbiology and Biology Education","2","2021","2021","off_domain_venue_name:life_science"
"Journal of Molecular Structure","2","2024","2024","off_domain_venue_name:life_science"
"Journal of Nuclear Science and Technology","2","2018","2023","off_domain_venue_name:physical_science"
"Journal of Nursing Care Quality","2","2025","2025","off_domain_venue_name:medicine"
"Journal of Nursing Education","2","2024","2024","off_domain_venue_name:medicine"
"Journal of Nursing Research","2","2022","2022","off_domain_venue_name:medicine"
"Journal of Oral and Maxillofacial Surgery","2","2024","2024","off_domain_venue_name:medicine"
"Journal of Oral Pathology & Medicine","2","2025","2025","off_domain_venue_name:medicine"
"Journal of Pharmaceutical Analysis","2","2020","2020","off_domain_venue_name:medicine"
"Journal of Pharmaceutical Policy and Practice","2","2024","2025","off_domain_venue_name:medicine"
"Journal of Physics A Mathematical and General","2","2001","2004","off_domain_venue_name:physical_science"
"Journal of Physics Photonics","2","2024","2024","off_domain_venue_name:physical_science"
"Journal of Psychopathology and Clinical Science","2","2023","2024","off_domain_venue_name:medicine"
"Journal of Public Health Dentistry","2","2019","2019","off_domain_venue_name:medicine"
"Journal of Structural Chemistry","2","2024","2024","off_domain_venue_name:physical_science"
"Journal of Surgical Research","2","2015","2017","off_domain_venue_name:medicine"
"Journal of Taibah University Medical Sciences","2","2016","2023","off_domain_venue_name:medicine"
"Journal of the American Academy of Child and Adolescent Psychiatry","2","2017","2020","off_domain_venue_name:medicine"
"Journal of the Medical Library Association","2","2006","2006","off_domain_venue_name:medicine"
"Journal of Travel Medicine","2","2021","2021","off_domain_venue_name:medicine"
"Journal of Vascular Surgery","2","2024","2024","off_domain_venue_name:medicine"
"JPMA. The Journal of the Pakistan Medical Association","2","2007","2007","off_domain_venue_name:medicine"
"Korean Journal of Radiology","2","2018","2018","off_domain_venue_name:medicine"
"Laparoscopic Endoscopic and Robotic Surgery","2","2024","2024","off_domain_venue_name:medicine"
"Materials Science and Engineering A","2","2024","2024","off_domain_venue_name:physical_science"
"Materials Today Chemistry","2","2024","2024","off_domain_venue_name:physical_science"
"Materials Today Quantum","2","2024","2024","off_domain_venue_name:physical_science"
"MedComm – Oncology","2","2024","2024","off_domain_venue_name:medicine"
"Medical Anthropology","2","2021","2021","off_domain_venue_name:medicine"
"Medical Anthropology Quarterly","2","2015","2015","off_domain_venue_name:medicine"
"Medical Education Online","2","2019","2025","off_domain_venue_name:medicine"
"Medical Journal of Australia","2","2003","2009","off_domain_venue_name:medicine"
"MEDIS – International Journal of Medical Sciences and Research","2","2022","2022","off_domain_venue_name:medicine"
"Molecular and Cellular Endocrinology","2","2011","2011","off_domain_venue_name:life_science"
"Molecular and clinical oncology","2","2021","2021","off_domain_venue_name:medicine|life_science"
"Molecular Omics","2","2024","2024","off_domain_venue_name:life_science"
"Molecular Simulation","2","2022","2024","off_domain_venue_name:life_science"
"Molecular Therapy: Methods & Clinical Development","2","2020","2020","off_domain_venue_name:medicine|life_science"
"Mugda Medical College Journal","2","2025","2025","off_domain_venue_name:medicine"
"Nature Reviews Neurology","2","2025","2025","off_domain_venue_name:medicine"
"Neuro-Oncology Advances","2","2024","2024","off_domain_venue_name:medicine"
"Neuroscience","2","2010","2010","off_domain_venue_name:life_science"
"Neuroscience Letters","2","2017","2017","off_domain_venue_name:life_science"
"Neuroscience Research","2","2024","2024","off_domain_venue_name:life_science"
"NMR in Biomedicine","2","2021","2021","off_domain_venue_name:medicine"
"npj Digit. Medicine","2","2023","2023","off_domain_venue_name:medicine"
"npj Primary Care Respiratory Medicine","2","2020","2020","off_domain_venue_name:medicine"
"Nuclear Technology","2","2021","2021","off_domain_venue_name:physical_science"
"Nursing Critical Care","2","2023","2024","off_domain_venue_name:medicine"
"Nursing Management","2","2024","2024","off_domain_venue_name:medicine"
"Nursing Outlook","2","2022","2022","off_domain_venue_name:medicine"
"Nursing Standard","2","2012","2017","off_domain_venue_name:medicine"
"Obesity Surgery","2","2023","2023","off_domain_venue_name:medicine"
"OJIN The Online Journal of Issues in Nursing","2","2021","2021","off_domain_venue_name:medicine"
"Oman Medical Journal","2","2015","2015","off_domain_venue_name:medicine"
"OMICS A Journal of Integrative Biology","2","2012","2025","off_domain_venue_name:life_science"
"Oncology Research and Treatment","2","2024","2024","off_domain_venue_name:medicine"
"Ophthalmic Genetics","2","2021","2025","off_domain_venue_name:life_science"
"Optica Quantum","2","2024","2024","off_domain_venue_name:physical_science"
"Optical and Quantum Electronics","2","2024","2024","off_domain_venue_name:physical_science"
"Oral Oncology Reports","2","2024","2024","off_domain_venue_name:medicine"
"Orthopaedic Journal of Sports Medicine","2","2020","2024","off_domain_venue_name:medicine"
"Orthopaedic Nursing","2","1990","1990","off_domain_venue_name:medicine"
"Orthopaedic Surgery","2","2024","2024","off_domain_venue_name:medicine"
"Pain medicine (Malden, Mass.)","2","2009","2009","off_domain_venue_name:medicine"
"Pakistan Journal of Medical Sciences","2","2020","2023","off_domain_venue_name:medicine"
"Palliative Medicine","2","2014","2017","off_domain_venue_name:medicine"
"Particle & Particle Systems Characterization","2","2024","2024","off_domain_venue_name:physical_science"
"Pediatrics International","2","2020","2020","off_domain_venue_name:medicine"
"Pharmaceutical journal/The pharmaceutical journal","2","2024","2024","off_domain_venue_name:medicine"
"Pharmacology and Therapeutics","2","2019","2019","off_domain_venue_name:medicine"
"Pharmacology Research & Perspectives","2","2024","2024","off_domain_venue_name:medicine"
"Philosophical Transactions of the Royal Society B: Biological Sciences","2","2013","2013","off_domain_venue_name:life_science"
"Physical review. C","2","2024","2024","off_domain_venue_name:physical_science"
"Physical review. E","2","2017","2024","off_domain_venue_name:physical_science"
"Physics Education","2","2023","2023","off_domain_venue_name:physical_science"
"Physics of Plasmas","2","2024","2024","off_domain_venue_name:physical_science"
"Plasma Physics and Controlled Fusion","2","2025","2025","off_domain_venue_name:physical_science"
